"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","logout via icon","chromium","Mon Aug 25 15:29:35 PKT 2025","passed","Mon Aug 25 15:29:36 PKT 2025","login flow","login.spec.js","",""
"","695","add cash","chromium","Mon Aug 25 15:29:36 PKT 2025","passed","Mon Aug 25 15:29:37 PKT 2025","petty cash","pettycash.spec.js","",""
"","359","add new category group","chromium","Mon Aug 25 15:30:29 PKT 2025","skipped","Mon Aug 25 15:30:29 PKT 2025","settings","settings.spec.js","",""
"","5848","add funds","chromium","Mon Aug 25 15:31:34 PKT 2025","passed","Mon Aug 25 15:31:40 PKT 2025","wallet","wallet.spec.js","",""
"","8298","add new tax code","chromium","Mon Aug 25 15:29:58 PKT 2025","passed","Mon Aug 25 15:30:07 PKT 2025","settings","settings.spec.js","",""
"","4","create multiple departments via teams plus icon","chromium","Mon Aug 25 15:30:29 PKT 2025","skipped","Mon Aug 25 15:30:29 PKT 2025","","teams.spec.js","",""
"","23","login with OTP","chromium","Mon Aug 25 15:29:17 PKT 2025","passed","Mon Aug 25 15:29:17 PKT 2025","login flow","login.spec.js","",""
"","902","withdraw cash","chromium","Mon Aug 25 15:29:56 PKT 2025","passed","Mon Aug 25 15:29:57 PKT 2025","petty cash","pettycash.spec.js","",""
"","5853","withdraw funds","chromium","Mon Aug 25 15:32:04 PKT 2025","passed","Mon Aug 25 15:32:09 PKT 2025","wallet","wallet.spec.js","",""
"","66702","create and verify company account","chromium","Mon Aug 25 15:28:08 PKT 2025","passed","Mon Aug 25 15:29:15 PKT 2025","company onboarding","company-registration.spec.js","",""
"","65120","create users for all roles","chromium","Mon Aug 25 15:30:29 PKT 2025","passed","Mon Aug 25 15:31:34 PKT 2025","","user-creation.spec.js","",""
